Kabupaten Kota,Jumlah Penduduk menurut Jenis Kelamin dan Kabupaten/Kota (Jiwa),,,,,,,,
,Jumlah,,,Perempuan,,,Laki-Laki,,
,2018,2019,2020,2018,2019,2020,2018,2019,2020
Sumatera Utara,14415391,14562549,14703532,7222191,7296342,7367650,7193200,7266207,7335882
Nias,142840,143319,143983,73267,73566,73975,69573,69753,70008
Mandailing Natal,443490,447287,451028,225767,227624,229627,217723,219663,221401
Tapanuli Selatan,280283,281931,283389,141003,141797,142591,139280,140134,140798
Tapanuli Tengah,370171,376667,382917,184456,187660,190723,185715,189007,192194
Tapanuli Utara,299881,301789,303688,151659,152584,153675,148222,149205,150013
Toba Samosir,182673,183712,184493,91987,92475,92769,90686,91237,91724
Labuhan Batu,486480,494178,501596,240678,244456,248200,245802,249722,253396
Asahan,724379,729795,735026,360693,363192,365894,363686,366603,369132
Simalungun,863693,867922,871678,433387,435497,437502,430306,432425,434176
Dairi,283203,284304,285481,141725,142321,142968,141478,141983,142513
Karo,409675,415878,421997,206364,209483,212608,203311,206395,209389
Deli Serdang,2155625,2195709,2234320,1070946,1090815,1110229,1084679,1104894,1124091
Langkat,1035411,1041775,1048100,514029,517294,520522,521382,524481,527578
Nias Selatan,317207,319902,322520,159681,161229,162444,157526,158673,160076
Humbang Hasundutan,188480,190186,191776,94868,95669,96596,93612,94517,95180
Pakpak Bharat,48119,48935,49688,23829,24236,24593,24290,24699,25095
Samosir,125816,126188,126710,63324,63457,63782,62492,62731,62928
Serdang Bedagai,614618,616396,617772,306199,307014,307765,308419,309382,310007
Batu Bara,412992,416493,420103,205115,206854,208695,207877,209639,211408
Padang Lawas Utara,267771,272713,277423,133286,135712,138093,134485,137001,139330
Padang Lawas,275515,281239,286627,137519,140323,143014,137996,140916,143613
Labuhanbatu Selatan,332922,338982,344819,163115,166105,169022,169807,172877,175797
Labuanbatu Utara,360926,363816,366603,178739,180094,181523,182187,183722,185080
Nias Utara,137002,137967,138800,69179,69657,70084,67823,68310,68716
Nias Barat,81663,82154,82425,42618,42840,42919,39045,39314,39506
Sibolga,87317,87626,87791,43494,43647,43668,43823,43979,44123
Tanjungbalai,173302,175223,177005,86025,87042,87797,87277,88181,89208
Pematangsiantar,253500,255317,257110,129922,130784,131680,123578,124533,125430
Tebing Tinggi,162581,164402,166100,82264,83121,83994,80317,81281,82106
Medan,2264145,2279894,2295003,1145743,1154627,1162124,1118402,1125267,1132879
Binjai,273892,276597,279302,137178,138533,140018,136714,138064,139284
Padangsidimpuan,218892,221827,224483,112219,113806,115097,106673,108021,109386
Gunungsitoli,140927,142426,143776,71913,72828,73459,69014,69598,70317
,,,,,,,,,
Data Proyeksi Penduduk Sp2010 * Backcasting untuk Nias dan Nias Barat,,,,,,,,,
Source Url: https://sumut.bps.go.id/indicator/12/65/1/jumlah-penduduk-menurut-jenis-kelamin-dan-kabupaten-kota.html,,,,,,,,,
"Access Time: May 25, 2022, 3:42 pm",,,,,,,,,
