Kabupaten/Kota,Ibukota Kabupaten/Kota,Luas *) (km2/ sq.km ),Persentase Terhadap Luas Wilayah,Jumlah Pulau **),Tinggi Wilayah (m)***),Jarak Ke Ibukota (Km)****)
01   N i a s,Gunungsitoli,"1 842,51",2.5,5,50.46,284
02   Mandailing Natal,Panyabungan  ,"6 134,00",8.4,24,292.28,324
03   Tapanuli Selatan,Sipirok  ,"6 030,47",8.26,-,293.25,254
04   Tapanuli Tengah,Pandan  ,"2 188,00",3,31,5.02,211
05   Tapanuli Utara,Tarutung  ,"3 791,64",5.2,1,973.83,176
06   Toba Samosir,Balige  ,"2 328,89",3.19,-,965.71,145
07   Labuhanbatu,Rantau Prapat  ,"2 156,02",2.95,8,29.54,213
08   A s a h a n,Kisaran  ,"3 702,21",5.07,3,17.85,124
09   Simalungun,Raya  ,"4 369,00",5.99,1,996.38,71
10   D  a  i  r  i,Sidikalang  ,"1 927,80",2.64,-,"1 069,18",100
11   K  a  r  o,Kabanjahe  ,"2 127,00",2.91,-,"1 224,57",55
12   Deli Serdang,Lubuk Pakam  ,"2 241,68",3.07,1,15.57,22
13   L a n g k a t,Stabat  ,"6 262,00",8.58,10,12.77,31
14   Nias Selatan,Teluk dalam  ,"1 825,20",2.5,88,32.01,346
15   Humbang Hasundutan ,Dolok Sanggul  ,"2 335,33",3.2,1,"1 532,79",148
16   Pakpak Bharat,Salak  ,"1 218,30",1.67,-,"1 031,08",122
17   Samosir,Pangururan  ,"2 069,05",2.84,5,911.87,113
18   Serdang Bedagai,Sei Rampah  ,"1 900,22",2.6,2,4.54,51
19   Batu Bara ,Lima Puluh  ,922.20,1.26,2,26.83,95
20   Padang Lawas Utara,Gunung Tua  ,"3 918,05",5.37,-,106,254
21   Padang Lawas,Sibuhuan  ,"3 892,74",5.33,-,164.24,305
22   Labuhanbatu Selatan,Kota Pinang  ,"3 596,00",4.93,-,32.05,243
23   Labuhanbatu Utara,Aek Kanopan  ,"3 570,98",4.89,2,24.64,157
24   Nias Utara,Lotu  ,"1 202,78",1.65,19,173.32,282
25   Nias Barat,Sirombu  ,473.73,0.65,11,122.45,314
71   S i b o l g a,Sibolga  ,41.31,0.06,2,3.18,203
72   Tanjungbalai,Tanjungbalai  ,107.83,0.15,7,13.27,141
73   Pematangsiantar,Pematangsiantar  ,55.66,0.08,-,396.65,82
74   Tebing Tinggi,Tebing Tinggi  ,31.00,0.04,-,23.85,62
75   M e d a n,Medan  ,265.00,0.36,1,29.16,1
76   B i n j a i,Binjai  ,59.19,0.08,-,33.5,21
77   Padangsidimpuan,Padangsidimpuan  ,114.66,0.16,-,308.11,253
78  Gunungsitoli,Gunungsitoli  ,280.78,0.38,-,14.21,280
