Kota,Medan,Lubuk Pakam,Tebing Tinggi,Pematang-siantar,Parapat,Tarutung,Sibolga,Padang-sidimpuan,Rantau Prapat ,Kisaran,Tanjungbalai,Sidikalang,Kabanjahe,Stabat,Balige,Penyabungan,Sibuhuan,Gunung Tua,Salak,Sei Rampah,Lima Puluh,Aek Kanopan,Kota Pinang
Medan,X,27,81,128,186,294,382,448,282,180,208,153,78,43,238,521,495,425,193,63,121,219,342
Lubuk Pakam,29,X,52,99,157,265,353,419,259,151,180,182,107,72,216,492,466,396,222,34,92,190,313
Tebing Tinggi,81,52,X,47,105,213,301,367,207,79,107,176,159,124,164,440,414,344,216,18,40,138,261
Pematang-siantar,128,99,47,X,58,168,254,320,238,89,117,129,98,171,117,393,367,297,169,65,50,148,271
Parapat,186,157,105,58,X,108,196,262,275,147,175,187,156,229,59,335,309,239,227,123,108,206,329
Tarutung,294,265,213,168,108,X,88,112,217,257,285,152,264,337,49,227,201,131,192,231,216,337,214
Sibolga,382,353,301,254,196,88,X,88,307,345,373,207,352,425,137,161,240,170,247,319,304,376,253
Padang-sidimpuan,448,419,367,320,262,112,88,X,199,327,355,295,376,425,161,73,152,82,335,385,328,288,165
Rantau Prapat,288,259,207,238,275,217,307,199,X,128,156,441,366,331,360,272,207,137,481,225,167,69,54
Kisaran,180,151,79,110,147,257,345,327,128,X,28,333,258,223,206,400,335,265,374,117,98,59,182
Tanjungbalai,208,180,107,138,175,285,373,355,156,28,X,361,286,251,234,428,363,293,401,145,126,87,210
Sidikalang,153,182,176,129,187,152,207,295,441,333,361,X,75,196,149,379,447,348,40,216,274,372,431
Kabanjahe,78,107,159,98,156,264,352,376,336,187,215,75,X,121,215,599,465,395,115,141,199,297,420
Stabat,43,72,124,171,229,337,425,491,271,223,251,196,121,X,281,564,538,468,236,186,164,341,382
Balige,245,216,164,117,59,49,137,161,360,206,234,149,215,288,X,276,313,243,189,175,167,265,326
Penyabungan,521,492,440,393,335,227,161,73,272,400,428,379,599,564,276,X,225,155,419,458,443,341,238
Sibuhuan,495,466,414,367,309,201,240,152,207,335,363,447,465,538,313,225,X,70,487,432,417,266,235
Gunung Tua,425,396,344,297,239,131,170,82,137,265,293,348,395,468,243,155,70,X,388,362,347,206,83
Salak,193,222,216,169,227,192,247,335,481,374,401,40,115,236,189,419,487,388,X,256,219,412,471
Sei Rampah,63,34,18,65,123,231,319,385,225,117,145,216,141,186,175,458,432,362,256,X,58,156,279
Lima Puluh,121,92,40,50,108,216,304,328,167,98,126,274,199,164,167,443,417,347,219,58,X,157,221
Aek Kanopan,219,190,138,148,206,337,376,288,69,59,87,372,297,341,265,341,266,206,412,156,157,X,123
Kota Pinang,342,313,261,271,329,214,253,165,54,182,210,431,420,382,326,238,235,83,471,279,221,123,X
